,subject,rfid
0,F101,933000120138681.0
1,F102,933000120138443.0
2,F103,933000120138699.0
3,F104,933000120138703.0
4,F105,933000120138613.0
5,F106,933000120138620.0
6,F107,933000120138610.0
7,F108,933000120138606.0
8,F109,933000120138422.0
9,F110,933000120138425.0
10,F111,933000120138430.0
11,F112,933000120138429.0
12,F113,933000120138426.0
13,F114,933000120138408.0
14,F115,933000120138710.0
15,F116,933000120138729.0
16,F117,933000120138723.0
17,F118,933000120138720.0
18,F119,933000120138709.0
19,F120,933000120138721.0
20,F121,933000120138706.0
21,F122,933000120138751.0
22,F123,933000120138733.0
23,F124,933000120138731.0
24,F125,933000120138738.0
25,F126,933000120138745.0
26,F127,933000120138753.0
27,F128,933000120138445.0
28,F129,933000120138450.0
29,F130,933000120138441.0
30,M151,933000120138488.0
31,M152,933000120138489.0
32,M153,933000120138621.0
33,M154,933000120138693.0
34,M155,933000120138625.0
35,M156,933000120138695.0
36,M157,933000120138626.0
37,M158,933000120138617.0
38,M159,933000120138419.0
39,M160,933000120138416.0
40,M161,933000120138418.0
41,M162,933000120138428.0
42,M163,933000120138421.0
43,M164,933000120138423.0
44,M165,933000120138719.0
45,M166,933000120138713.0
46,M167,933000120138727.0
47,M168,933000120138716.0
48,M169,933000120138725.0
49,M170,933000120138433.0
50,M171,933000120138714.0
51,M172,933000120138728.0
52,M173,933000120138742.0
53,M174,933000120138737.0
54,M175,933000120138741.0
55,M176,933000120138755.0
56,M177,933000120138752.0
57,M178,933000120138739.0
58,M179,933000120138438.0
59,M180,933000120138452.0
60,F131,933000120138608.0
61,F132,933000120138704.0
62,F133,933000120138612.0
63,F134,933000120138624.0
64,F135,933000120138740.0
65,F136,933000120138749.0
66,F137,933000120138747.0
67,F138,933000120138735.0
68,M181,933000120138628.0
69,M182,933000120138622.0
70,M183,933000120138746.0
71,M184,933000120138444.0
72,M185,933000120138449.0
73,M186,933000120138451.0
74,M187,933000120138439.0
75,M188,933000120138442.0
76,F301,933000320045738.0
77,F302,933000320045726.0
78,F303,933000320045747.0
79,F304,933000320045734.0
80,F305,933000320045669.0
81,F306,933000320045655.0
82,F307,933000320046133.0
83,F308,933000320046134.0
84,F309,933000320045780.0
85,F310,933000320045728.0
86,F311,933000320046620.0
87,F312,933000320046603.0
88,F313,933000320045789.0
89,F314,933000320045748.0
90,F315,933000320046399.0
91,F316,933000320046394.0
92,F338,933000320046096.0
93,F318,933000320045666.0
94,F319,933000320046389.0
95,F320,933000320046532.0
96,F321,933000320046145.0
97,F322,933000320046604.0
98,F337,933000320045732.0
99,F324,933000320046544.0
100,F325,933000320046128.0
101,F326,933000320046095.0
102,F327,933000320045743.0
103,F328,933000320045782.0
104,F329,933000320046139.0
105,F330,933000320046150.0
106,M351,933000320046126.0
107,M352,933000320045673.0
108,M353,933000320045798.0
109,M354,933000320045737.0
110,M355,933000320046392.0
111,M356,933000320046388.0
112,M357,933000320045663.0
113,M358,933000320045651.0
114,M359,933000320046622.0
115,M360,933000320046623.0
116,M361,933000320045796.0
117,M362,933000320045746.0
118,M363,933000320046619.0
119,M364,933000320046612.0
120,M365,933000320046614.0
121,M366,933000320046089.0
122,M367,933000320045783.0
123,M368,933000320045995.0
124,M369,933000320046147.0
125,M370,933000320046142.0
126,M371,933000320045749.0
127,M372,933000320045733.0
128,M373,933000320046384.0
129,M388,933000320046080.0
130,M375,933000320045727.0
131,M376,933000320045731.0
132,M377,933000320046610.0
133,M378,933000320046100.0
134,M379,933000320045654.0
135,M380,933000320046149.0
136,F331,933000320046087.0
137,F332,933000320045739.0
138,F333,933000320046386.0
139,F334,933000320046383.0
140,F335,933000320045730.0
141,F336,933000320045729.0
142,M381,933000320045795.0
143,M382,933000320045776.0
144,M383,933000320046606.0
145,M384,933000320046545.0
146,M385,933000320046132.0
147,M386,933000320046398.0
148,M387,933000320046082.0
149,F317,933000320045668.0
150,F323,933000320046387.0
151,M374,933000320046378.0
152,F401,933000320046909.0
153,F402,933000320046925.0
154,F403,933000320047106.0
155,F404,933000320046901.0
156,F405,933000320046917.0
157,F406,933000320046914.0
158,F407,933000320047101.0
159,F408,933000320046906.0
160,F409,933000320047113.0
161,F410,933000320047117.0
162,F411,933000320047485.0
163,F412,933000320047271.0
164,F413,933000320047454.0
165,F414,933000320047266.0
166,F415,933000320047452.0
167,F416,933000320047486.0
168,F417,933000320047461.0
169,F418,933000320047479.0
170,F419,933000320047468.0
171,F420,933000320047267.0
172,F421,933000320047278.0
173,F422,933000320047291.0
174,F423,933000320047294.0
175,F424,933000320046912.0
176,F425,933000320047128.0
177,F426,933000320047289.0
178,F427,933000320047139.0
179,F428,933000320047134.0
180,F429,933000320046913.0
181,F430,933000320047149.0
182,M451,933000320047141.0
183,M452,933000320047145.0
184,M453,933000320047292.0
185,M454,933000320047284.0
186,M455,933000320047148.0
187,M456,933000320047146.0
188,M457,933000320047138.0
189,M458,933000320047297.0
190,M459,933000320047131.0
191,M460,933000320046924.0
192,M461,933000320046905.0
193,M462,933000320046911.0
194,M463,933000320046918.0
195,M464,933000320047123.0
196,M465,933000320046908.0
197,M466,933000320047124.0
198,M467,933000320047102.0
199,M468,933000320046921.0
200,M469,933000320046903.0
201,M470,933000320047107.0
202,M471,933000320047480.0
203,M472,933000320047451.0
204,M473,933000320047478.0
205,M474,933000320047489.0
206,M475,933000320047253.0
207,M476,933000320047118.0
208,M477,933000320047458.0
209,M478,933000320047484.0
210,M479,933000320047120.0
211,M480,933000320047257.0
212,F431,933000320047263.0
213,F432,933000320047469.0
214,F433,933000320047269.0
215,F434,933000320047258.0
216,F435,933000320047274.0
217,F436,933000320047273.0
218,F437,933000320047453.0
219,M481,933000320047492.0
220,M482,933000320047272.0
221,M483,933000320047499.0
222,M484,933000320047463.0
223,M485,933000320047460.0
224,M486,933000320047457.0
225,M487,933000320047465.0
226,F501,933000320047050.0
227,F502,933000320046809.0
228,F503,933000320047336.0
229,F504,933000320046817.0
230,F505,933000320047348.0
231,F506,933000320046808.0
232,F507,933000320047344.0
233,F508,933000320047350.0
234,F509,933000320046802.0
235,F510,933000320047043.0
236,F511,933000320046821.0
237,F512,933000320047586.0
238,F513,933000320047580.0
239,F514,933000320047007.0
240,F515,933000320047589.0
241,F516,933000320047022.0
242,F517,933000320047596.0
243,F518,933000320047587.0
244,F519,933000320046820.0
245,F520,933000320047015.0
246,F521,933000320047025.0
247,F522,933000320046843.0
248,F523,933000320047155.0
249,F524,933000320046830.0
250,F525,933000320047153.0
251,F526,933000320046828.0
252,F527,933000320047158.0
253,F528,933000320047156.0
254,F529,933000320047021.0
255,F530,933000320046826.0
256,F531,933000320047381.0
257,F532,933000320047384.0
258,F533,933000320047400.0
259,F534,933000320047010.0
260,F535,933000320047024.0
261,F536,933000320047002.0
262,F537,933000320046835.0
263,F538,933000320047023.0
264,M551,933000320047046.0
265,M552,933000320046824.0
266,M553,933000320047033.0
267,M554,933000320047349.0
268,M555,933000320047326.0
269,M556,933000320046811.0
270,M557,933000320046804.0
271,M558,933000320047347.0
272,M559,933000320047328.0
273,M560,933000320046816.0
274,M561,933000320047597.0
275,M562,933000320046819.0
276,M563,933000320047003.0
277,M564,933000320047018.0
278,M565,933000320047008.0
279,M566,933000320047594.0
280,M567,933000320046806.0
281,M568,933000320047585.0
282,M569,933000320046805.0
283,M570,933000320046803.0
284,M571,933000320047020.0
285,M572,933000320046844.0
286,M573,933000320046840.0
287,M574,933000320047151.0
288,M575,933000320046850.0
289,M576,933000320047168.0
290,M577,933000320047170.0
291,M578,933000320046839.0
292,M579,933000320047004.0
293,M580,933000320047173.0
294,M581,933000320047386.0
295,M582,933000320046848.0
296,M583,933000320046849.0
297,M584,933000320046829.0
298,M585,933000320046845.0
299,M586,933000320046838.0
300,M587,933000320046827.0
301,F601,933000320047908.0
302,F602,933000320047868.0
303,F603,933000320047856.0
304,F604,933000320047916.0
305,F605,933000320047901.0
306,F606,933000320047919.0
307,F607,933000320047874.0
308,F608,933000320047858.0
309,F609,933000320047917.0
310,F610,933000320047918.0
311,F611,933000320047877.0
312,F612,933000320047938.0
313,F613,933000320047934.0
314,F614,933000320047671.0
315,F615,933000320186794.0
316,F616,933000320186795.0
317,F617,933000320047886.0
318,F618,933000320047891.0
319,F619,933000320047675.0
320,F620,933000320047898.0
321,F621,933000320186853.0
322,F622,933000320186820.0
323,F623,933000320186859.0
324,F624,933000320186823.0
325,F625,933000320186826.0
326,F626,933000320186920.0
327,F627,933000320186841.0
328,F628,933000320186844.0
329,F629,933000320186817.0
330,F630,933000320186818.0
331,F631,933000320186789.0
332,F632,933000320186787.0
333,F633,933000320186793.0
334,F634,933000320186776.0
335,F635,933000320186788.0
336,F636,933000320186919.0
337,F637,933000320186784.0
338,M651,933000320047943.0
339,M652,933000320047668.0
340,M653,933000320047902.0
341,M654,933000320047866.0
342,M655,933000320047925.0
343,M656,933000320047932.0
344,M657,933000320047852.0
345,M658,933000320047903.0
346,M659,933000320047905.0
347,M660,933000320047656.0
348,M661,933000320047893.0
349,M662,933000320047881.0
350,M663,933000320047896.0
351,M664,933000320047669.0
352,M665,933000320047894.0
353,M666,933000320047890.0
354,M667,933000320047672.0
355,M668,933000320047661.0
356,M669,933000320047876.0
357,M670,933000320047664.0
358,M671,933000320186911.0
359,M672,933000320186845.0
360,M673,933000320186796.0
361,M674,933000320186865.0
362,M675,933000320186835.0
363,M676,933000320047895.0
364,M677,933000320186847.0
365,M678,933000320186910.0
366,M679,933000320186856.0
367,M680,933000320186809.0
368,M681,933000320186798.0
369,M682,933000320186838.0
370,M683,933000320186922.0
371,M684,933000320047655.0
372,M685,933000320047948.0
373,M686,933000320047924.0
374,M687,933000320047945.0
375,F701,933000320187248.0
376,F702,933000320186967.0
377,F703,933000320187231.0
378,F704,933000320186974.0
379,F705,933000320186993.0
380,F706,933000320186995.0
381,F707,933000320187237.0
382,F708,933000320187241.0
383,F709,933000320186991.0
384,F710,933000320187230.0
385,F711,933000320187357.0
386,F712,933000320187083.0
387,F713,933000320186900.0
388,F714,933000320187161.0
389,F715,933000320186885.0
390,F716,933000320187082.0
391,F717,933000320187099.0
392,F718,933000320187166.0
393,F719,933000320187195.0
394,F720,933000320187197.0
395,F721,933000320187220.0
396,F722,933000320187325.0
397,F723,933000320187216.0
398,F724,933000320187210.0
399,F725,933000320186897.0
400,F726,933000320187316.0
401,F727,933000320186878.0
402,F728,933000320187213.0
403,F729,933000320187168.0
404,F730,933000320187314.0
405,F731,933000320187184.0
406,F732,933000320187185.0
407,F733,933000320186960.0
408,F734,933000320187315.0
409,F735,933000320186951.0
410,F736,933000320187182.0
411,F737,933000320187305.0
412,M751,933000320187250.0
413,M752,933000320187359.0
414,M753,933000320186965.0
415,M754,933000320186998.0
416,M755,933000320187226.0
417,M756,933000320186990.0
418,M757,933000320186966.0
419,M758,933000320186977.0
420,M759,933000320187238.0
421,M760,933000320187243.0
422,M761,933000320187100.0
423,M762,933000320187086.0
424,M763,933000320187152.0
425,M764,933000320187084.0
426,M765,933000320186890.0
427,M766,933000320187169.0
428,M767,933000320187170.0
429,M768,933000320186899.0
430,M769,933000320187164.0
431,M770,933000320187094.0
432,M771,933000320187221.0
433,M772,933000320187324.0
434,M773,933000320186887.0
435,M774,933000320187206.0
436,M775,933000320187211.0
437,M776,933000320187186.0
438,M777,933000320187198.0
439,M778,933000320187323.0
440,M779,933000320187218.0
441,M780,933000320186886.0
442,M781,933000320187309.0
443,M782,933000320187178.0
444,M783,933000320187139.0
445,M784,933000320187308.0
446,M785,933000320187310.0
447,M786,933000320187307.0
448,M787,933000320187129.0
449,F901,933000320048606.0
450,F902,933000320048754.0
451,F903,933000320048758.0
452,F904,933000320048335.0
453,F905,933000320048341.0
454,F906,933000320048625.0
455,F907,933000320048619.0
456,F908,933000320048611.0
457,F909,933000320048140.0
458,F910,933000320048134.0
459,F911,933000320048337.0
460,F912,933000320048203.0
461,F913,933000320048546.0
462,F914,933000320048347.0
463,F915,933000320048146.0
464,F916,933000320048536.0
465,F917,933000320048137.0
466,F918,933000320048141.0
467,F919,933000320048550.0
468,F920,933000320048548.0
469,F931,933000320048543.0
470,F932,933000320048538.0
471,F933,933000320048217.0
472,F934,933000320048530.0
473,F935,933000320048549.0
474,M951,933000320048756.0
475,M952,933000320048340.0
476,M953,933000320048602.0
477,M954,933000320048767.0
478,M955,933000320048345.0
479,M956,933000320048617.0
480,M957,933000320048610.0
481,M958,933000320048608.0
482,M959,933000320048139.0
483,M960,933000320048593.0
484,M961,933000320048136.0
485,M962,933000320048209.0
486,M963,933000320048128.0
487,M964,933000320048579.0
488,M965,933000320048349.0
489,M966,933000320048127.0
490,M967,933000320048215.0
491,M968,933000320048532.0
492,M969,933000320048542.0
493,M970,933000320048220.0
494,M981,933000320048334.0
495,M982,933000320048545.0
496,M983,933000320048225.0
497,M984,933000320048531.0
498,M985,933000320048210.0
499,F1001,933000320048779.0
500,F1002,933000320049043.0
501,F1003,933000320049032.0
502,F1004,933000320049045.0
503,F1005,933000320048786.0
504,F1006,933000320048793.0
505,F1007,933000320049027.0
506,F1008,933000320048783.0
507,F1009,933000320048940.0
508,F1010,933000320049140.0
509,F1011,933000320048792.0
510,F1012,933000320048936.0
511,F1013,933000320049128.0
512,F1014,933000320049144.0
513,F1015,933000320048795.0
514,F1016,933000320049146.0
515,F1017,933000320049137.0
516,F1018,933000320048991.0
517,F1019,933000320048633.0
518,F1020,933000320049169.0
519,F1021,933000320049129.0
520,F1022,933000320048982.0
521,F1023,933000320049168.0
522,F1024,933000320048650.0
523,F1025,933000320048723.0
524,F1026,933000320048707.0
525,F1027,933000320048956.0
526,F1028,933000320048967.0
527,F1029,933000320048708.0
528,F1030,933000320048701.0
529,F1031,933000320049171.0
530,F1032,933000320049152.0
531,F1033,933000320048980.0
532,F1034,933000320048705.0
533,F1035,933000320048978.0
534,F1036,933000320049165.0
535,F1037,933000320048717.0
536,F1038,933000320049156.0
537,M1051,933000320048796.0
538,M1052,933000320048777.0
539,M1053,933000320048944.0
540,M1054,933000320049127.0
541,M1055,933000320049141.0
542,M1056,933000320048949.0
543,M1057,933000320187461.0
544,M1058,933000320048785.0
545,M1059,933000320049148.0
546,M1060,933000320049143.0
547,M1061,933000320048983.0
548,M1062,933000320049163.0
549,M1063,933000320048636.0
550,M1064,933000320048640.0
551,M1065,933000320049160.0
552,M1066,933000320049134.0
553,M1067,933000320048984.0
554,M1068,933000320048645.0
555,M1069,933000320048969.0
556,M1070,933000320048957.0
557,M1071,933000320048714.0
558,M1072,933000320048718.0
559,M1073,933000320048719.0
560,M1074,933000320048720.0
561,M1075,933000320049049.0
562,M1076,933000320049031.0
563,M1077,933000320049030.0
564,M1078,933000320048776.0
565,M1079,933000320049026.0
566,M1080,933000320048794.0
567,M1081,933000320048628.0
568,M1082,933000320048649.0
569,M1083,933000320048643.0
570,M1084,933000320048992.0
571,M1085,933000320048626.0
572,M1086,933000320048627.0
573,M1087,933000320049164.0
574,F1101,933000320187884.0
575,F1102,933000320187891.0
576,F1103,933000320187898.0
577,F1104,933000320188254.0
578,F1105,933000320188259.0
579,F1106,933000320187889.0
580,F1107,933000320049178.0
581,F1108,933000320187886.0
582,F1109,933000320049188.0
583,F1110,933000320187880.0
584,F1111,933000320188275.0
585,F1112,933000320188160.0
586,F1113,933000320188175.0
587,F1114,933000320188151.0
588,F1115,933000320188167.0
589,F1116,933000320188253.0
590,F1117,933000320188166.0
591,F1118,933000320188266.0
592,F1119,933000320188257.0
593,F1120,933000320188168.0
594,F1121,933000320187922.0
595,F1122,933000320187918.0
596,F1123,933000320187936.0
597,F1124,933000320187934.0
598,F1125,933000320187948.0
