,subject,rfid
599,F1126,933000320187944.0
600,F1127,933000320187949.0
601,F1128,933000320187927.0
602,F1129,933000320188117.0
603,F1130,933000320188109.0
604,F1131,933000320188121.0
605,F1132,933000320188123.0
606,F1133,933000320187916.0
607,F1134,933000320187908.0
608,F1135,933000320188119.0
609,F1136,933000320187915.0
610,F1137,933000320187921.0
611,F1138,933000320188120.0
612,M1151,933000320187940.0
613,M1152,933000320187950.0
614,M1153,933000320187937.0
615,M1154,933000320187942.0
616,M1155,933000320188114.0
617,M1156,933000320187926.0
618,M1157,933000320187923.0
619,M1158,933000320188108.0
620,M1159,933000320187935.0
621,M1160,933000320187919.0
622,M1161,933000320188269.0
623,M1162,933000320188161.0
624,M1163,933000320188170.0
625,M1164,933000320188155.0
626,M1165,933000320188263.0
627,M1166,933000320188165.0
628,M1167,933000320188256.0
629,M1168,933000320188164.0
630,M1169,933000320188157.0
631,M1170,933000320188268.0
632,M1171,933000320049179.0
633,M1172,933000320188260.0
634,M1173,933000320049199.0
635,M1174,933000320187877.0
636,M1175,933000320187878.0
637,M1176,933000320187881.0
638,M1177,933000320187897.0
639,M1178,933000320188251.0
640,M1179,933000320187882.0
641,M1180,933000320187888.0
642,M1181,933000320188106.0
643,M1182,933000320188101.0
644,M1183,933000320188125.0
645,M1184,933000320188104.0
646,M1185,933000320188116.0
647,M1186,933000320188103.0
648,M1187,933000320188105.0
649,F1201,933000320188737.0
650,F1202,933000320188464.0
651,F1203,933000320188625.0
652,F1204,933000320188081.0
653,F1205,933000320188732.0
654,F1206,933000320188747.0
655,F1207,933000320188465.0
656,F1208,933000320188083.0
657,F1209,933000320188730.0
658,F1210,933000320188616.0
659,F1211,933000320187988.0
660,F1212,933000320187995.0
661,F1213,933000320187993.0
662,F1214,933000320187987.0
663,F1215,933000320188572.0
664,F1216,933000320187997.0
665,F1217,933000320188575.0
666,F1218,933000320187978.0
667,F1219,933000320188363.0
668,F1220,933000320188373.0
669,F1221,933000320188284.0
670,F1222,933000320188294.0
671,F1223,933000320188289.0
672,F1224,933000320188282.0
673,F1225,933000320188297.0
674,F1226,933000320188355.0
675,F1227,933000320188361.0
676,F1228,933000320188368.0
677,F1229,933000320188299.0
678,F1230,933000320188371.0
679,F1231,933000320188766.0
680,F1232,933000320188775.0
681,F1233,933000320188773.0
682,F1234,933000320188755.0
683,F1235,933000320188760.0
684,F1236,933000320188554.0
685,F1237,933000320188774.0
686,F1238,933000320188767.0
687,M1251,933000320188471.0
688,M1252,933000320188740.0
689,M1253,933000320188612.0
690,M1254,933000320188744.0
691,M1255,933000320188608.0
692,M1256,933000320188474.0
693,M1257,933000320188076.0
694,M1258,933000320188729.0
695,M1259,933000320188736.0
696,M1260,933000320188077.0
697,M1261,933000320188366.0
698,M1262,933000320188276.0
699,M1263,933000320187986.0
700,M1264,933000320187984.0
701,M1265,933000320187990.0
702,M1266,933000320187979.0
703,M1267,933000320188570.0
704,M1268,933000320187999.0
705,M1269,933000320188364.0
706,M1270,933000320188562.0
707,M1271,933000320188290.0
708,M1272,933000320188362.0
709,M1273,933000320188277.0
710,M1274,933000320188369.0
711,M1275,933000320188360.0
712,M1276,933000320188279.0
713,M1277,933000320188286.0
714,M1278,933000320188353.0
715,M1279,933000320188293.0
716,M1280,933000320188291.0
717,M1281,933000320188758.0
718,M1282,933000320188555.0
719,M1283,933000320188559.0
720,M1284,933000320188770.0
721,M1285,933000320188772.0
722,M1286,933000320188563.0
723,M1287,933000320188564.0
724,F1301,933000320188499.0
725,F1302,933000320188675.0
726,F1303,933000320188481.0
727,F1304,933000320188498.0
728,F1305,933000320188485.0
729,F1306,933000320188478.0
730,F1307,933000320188661.0
731,F1308,933000320188712.0
732,F1309,933000320188666.0
733,F1310,933000320188663.0
734,F1311,933000320188492.0
735,F1312,933000320188447.0
736,F1313,933000320188645.0
737,F1314,933000320188631.0
738,F1315,933000320188656.0
739,F1316,933000320188651.0
740,F1317,933000320188632.0
741,F1318,933000320188636.0
742,F1319,933000320188635.0
743,F1320,933000320188430.0
744,F1321,933000320188626.0
745,F1322,933000320188637.0
746,F1323,933000320188449.0
747,F1324,933000320500079.0
748,F1325,933000320500080.0
749,F1326,933000320188432.0
750,F1327,933000320188710.0
751,F1328,933000320188434.0
752,F1329,933000320188722.0
753,F1330,933000320188708.0
754,F1331,933000320188706.0
755,F1332,933000320188707.0
756,F1333,933000320188724.0
757,F1334,933000320500089.0
758,F1335,933000320500090.0
759,F1336,933000320188716.0
760,F1337,933000320188715.0
761,F1338,933000320188714.0
762,M1351,933000320188667.0
763,M1352,933000320188484.0
764,M1353,933000320188479.0
765,M1354,933000320188495.0
766,M1355,933000320188669.0
767,M1356,933000320188674.0
768,M1357,933000320188490.0
769,M1358,933000320188480.0
770,M1359,933000320188659.0
771,M1360,933000320188489.0
772,M1361,933000320188629.0
773,M1362,933000320188439.0
774,M1363,933000320188431.0
775,M1364,933000320188633.0
776,M1365,933000320188658.0
777,M1366,933000320188639.0
778,M1367,933000320188643.0
779,M1368,933000320188646.0
780,M1369,933000320188657.0
781,M1370,933000320188634.0
782,M1371,933000320188711.0
783,M1372,933000320188433.0
784,M1373,933000320188703.0
785,M1374,933000320188702.0
786,M1375,933000320188429.0
787,M1376,933000320188718.0
788,M1377,933000320188444.0
789,M1378,933000320500077.0
790,M1379,933000320188438.0
791,M1380,933000320500081.0
792,M1381,933000320500084.0
793,M1382,933000320500091.0
794,M1383,933000320500088.0
795,M1384,933000320500086.0
796,M1385,933000320500095.0
797,M1386,933000320500076.0
798,F1401,933000320500447.0
799,F1402,933000320499691.0
800,F1403,933000320499937.0
801,F1404,933000320500445.0
802,F1405,933000320500448.0
803,F1406,933000320499762.0
804,F1407,933000320499938.0
805,F1408,933000320500437.0
806,F1409,933000320499692.0
807,F1410,933000320499682.0
808,F1411,933000320499752.0
809,F1412,933000320500426.0
810,F1413,933000320500427.0
811,F1414,933000320499689.0
812,F1415,933000320499753.0
813,F1416,933000320499699.0
814,F1417,933000320499817.0
815,F1418,933000320499812.0
816,F1419,933000320499678.0
817,F1420,933000320499814.0
818,F1421,933000320499801.0
819,F1422,933000320499679.0
820,F1423,933000320499818.0
821,F1424,933000320499810.0
822,F1425,933000320500002.0
823,F1426,933000320499962.0
824,F1427,933000320500010.0
825,F1428,933000320500016.0
826,F1429,933000320500018.0
827,F1430,933000320499772.0
828,F1431,933000320499771.0
829,F1432,933000320499927.0
830,F1433,933000320499767.0
831,F1434,933000320499768.0
832,F1435,933000320499773.0
833,F1436,933000320499774.0
834,F1437,933000320499929.0
835,M1451,933000320500434.0
836,M1452,933000320500446.0
837,M1453,933000320499761.0
838,M1454,933000320500436.0
839,M1455,933000320499940.0
840,M1456,933000320500440.0
841,M1457,933000320499770.0
842,M1458,933000320499939.0
843,M1459,933000320499755.0
844,M1460,933000320500429.0
845,M1461,933000320499754.0
846,M1462,933000320499681.0
847,M1463,933000320500433.0
848,M1464,933000320499700.0
849,M1465,933000320499688.0
850,M1466,933000320499693.0
851,M1467,933000320499685.0
852,M1468,933000320499815.0
853,M1469,933000320499819.0
854,M1470,933000320499803.0
855,M1471,933000320499802.0
856,M1472,933000320499813.0
857,M1473,933000320499824.0
858,M1474,933000320499677.0
859,M1475,933000320499963.0
860,M1476,933000320500008.0
861,M1477,933000320500014.0
862,M1478,933000320499952.0
863,M1479,933000320500019.0
864,M1480,933000320500020.0
865,M1481,933000320499764.0
866,M1482,933000320499763.0
867,M1483,933000320499933.0
868,M1484,933000320499765.0
869,M1485,933000320499759.0
870,M1486,933000320499935.0
871,M1487,933000320499928.0
872,F1501,933000320499856.0
873,F1502,933000320500224.0
874,F1503,933000320499869.0
875,F1504,933000320499868.0
876,F1505,933000320499859.0
877,F1506,933000320499854.0
878,F1507,933000320500217.0
879,F1508,933000320499853.0
880,F1509,933000320500210.0
881,F1510,933000320500207.0
882,F1511,933000320500361.0
883,F1512,933000320499659.0
884,F1513,933000320500151.0
885,F1514,933000320500220.0
886,F1515,933000320500370.0
887,F1516,933000320499658.0
888,F1517,933000320524282.0
889,F1518,933000320524278.0
890,F1519,933000320524281.0
891,F1520,933000320524299.0
892,F1521,933000320524297.0
893,F1522,933000320524279.0
894,F1523,933000320500359.0
895,F1524,933000320500353.0
896,F1525,933000320524203.0
897,F1526,933000320524202.0
898,F1527,933000320524216.0
899,F1528,933000320524211.0
900,F1529,933000320524207.0
901,F1530,933000320524217.0
902,F1531,933000320499671.0
903,F1532,933000320500356.0
904,F1533,933000320499675.0
905,F1534,933000320500371.0
906,F1535,933000320500368.0
907,F1536,933000320500363.0
908,F1537,933000320500364.0
909,M1551,933000320499855.0
910,M1552,933000320499864.0
911,M1553,933000320500355.0
912,M1554,933000320499865.0
913,M1555,933000320499852.0
914,M1556,933000320500211.0
915,M1557,933000320499875.0
916,M1558,933000320499867.0
917,M1559,933000320500369.0
918,M1560,933000320500204.0
919,M1561,933000320500219.0
920,M1562,933000320500212.0
921,M1563,933000320500366.0
922,M1564,933000320500214.0
923,M1565,933000320500205.0
924,M1566,933000320500209.0
925,M1567,933000320500352.0
926,M1568,933000320524287.0
927,M1569,933000320524288.0
928,M1570,933000320524277.0
929,M1571,933000320524298.0
930,M1572,933000320524283.0
931,M1573,933000320524300.0
932,M1574,933000320500358.0
933,M1575,933000320524222.0
934,M1576,933000320524215.0
935,M1577,933000320524214.0
936,M1578,933000320524206.0
937,M1579,933000320524219.0
938,M1780,933000320524205.0
939,M1581,933000320500375.0
940,M1582,933000320500362.0
941,M1583,933000320499664.0
942,M1584,933000320499665.0
943,M1585,933000320500372.0
944,M1586,933000320500373.0
945,M1587,933000320500374.0
946,M1588,933000320500367.0
947,F1601,933000320525517.0
948,F1602,933000320525418.0
949,F1603,933000320525548.0
950,F1604,933000320525529.0
951,F1605,933000320525253.0
952,F1606,933000320525254.0
953,F1607,933000320525546.0
954,F1608,933000320525521.0
955,F1609,933000320525334.0
956,F1610,933000320525318.0
957,F1611,933000320525402.0
958,F1612,933000320525338.0
959,F1613,933000320525292.0
960,F1614,933000320525511.0
961,F1615,933000320525299.0
962,F1616,933000320525509.0
963,F1617,933000320525424.0
964,F1618,933000320525423.0
965,F1619,933000320524315.0
966,F1620,933000320525267.0
967,F1621,933000320525308.0
968,F1622,933000320525403.0
969,F1623,933000320525364.0
970,F1624,933000320525375.0
971,F1625,933000320525463.0
972,F1626,933000320525370.0
973,F1627,933000320525374.0
974,F1628,933000320525467.0
975,F1629,933000320525359.0
976,F1630,933000320525353.0
977,F1631,9220003205254210.0
978,F1632,933000320525413.0
979,F1633,933000320525417.0
980,F1634,933000320525419.0
981,F1635,933000320525420.0
982,F1636,933000320525414.0
983,F1637,933000320525416.0
984,F1638,933000320525415.0
985,M1651,933000320525257.0
986,M1652,933000320525541.0
987,M1653,933000320525533.0
988,M1654,933000320525535.0
989,M1655,933000320525516.0
990,M1656,933000320525515.0
991,M1657,933000320525421.0
992,M1658,933000320525525.0
993,M1659,933000320525512.0
994,M1660,933000320525280.0
995,M1661,933000320525278.0
996,M1662,933000320525298.0
997,M1663,933000320525361.0
998,M1664,933000320525474.0
999,M1665,933000320525468.0
1000,M1666,933000320525356.0
1001,M1667,933000320525339.0
1002,M1668,933000320525446.0
1003,M1669,933000320525303.0
1004,M1670,933000320525340.0
1005,M1671,933000320525310.0
1006,M1672,933000320525447.0
1007,M1673,933000320525425.0
1008,M1674,933000320525297.0
1009,M1675,933000320525437.0
1010,M1676,933000320525471.0
1011,M1677,933000320525354.0
1012,M1678,933000320525362.0
1013,M1679,933000320525527.0
1014,M1680,933000320525544.0
1015,M1681,933000320525289.0
1016,M1682,933000320525281.0
1017,M1683,933000320525285.0
1018,M1684,933000320525290.0
1019,M1685,933000320525287.0
1020,M1686,933000320525286.0
1021,M1687,933000320525422.0
1022,F1701,933000320697662.0
1023,F1702,933000320697535.0
1024,F1703,933000320697532.0
1025,F1704,933000320697657.0
1026,F1705,933000320697533.0
1027,F1706,933000320697530.0
1028,F1707,933000320697661.0
1029,F1708,933000320697658.0
1030,F1709,933000320697652.0
1031,F1710,933000320697523.0
1032,F1711,933000320697516.0
1033,F1712,933000320697514.0
1034,F1713,933000320697519.0
1035,F1714,933000320697524.0
1036,F1715,933000320697513.0
1037,F1716,933000320697653.0
1038,F1717,933000320697569.0
1039,F1718,933000320697556.0
1040,F1719,933000320697568.0
1041,F1720,933000320697562.0
1042,F1721,933000320697558.0
1043,F1722,933000320697552.0
1044,F1723,933000320697563.0
1045,F1724,933000320697565.0
1046,F1725,933000320697646.0
1047,F1726,933000320697560.0
1048,F1727,933000320697649.0
1049,F1728,933000320697650.0
1050,F1729,933000320697555.0
1051,F1730,933000320697642.0
1052,F1731,933000320697507.0
1053,F1732,933000320697501.0
1054,F1733,933000320697574.0
1055,F1734,933000320697573.0
1056,F1735,933000320697567.0
1057,F1736,933000320697506.0
1058,F1737,933000320697508.0
1059,M1751,933000320697663.0
1060,M1752,933000320697668.0
1061,M1753,933000320697656.0
1062,M1754,933000320697670.0
1063,M1755,933000320697654.0
1064,M1756,933000320697527.0
1065,M1757,933000320697534.0
1066,M1758,933000320697529.0
1067,M1759,933000320697512.0
1068,M1760,933000320697522.0
1069,M1761,933000320697518.0
1070,M1762,933000320697666.0
1071,M1763,933000320697517.0
1072,M1764,933000320697525.0
1073,M1765,933000320697651.0
1074,M1766,933000320697521.0
1075,M1767,933000320697557.0
1076,M1768,933000320697564.0
1077,M1769,933000320697561.0
1078,M1770,933000320697566.0
1079,M1771,933000320697575.0
1080,M1772,933000320697570.0
1081,M1773,933000320697551.0
1082,M1774,933000320697559.0
1083,M1775,933000320697648.0
1084,M1776,933000320697554.0
1085,M1777,933000320697643.0
1086,M1778,933000320697647.0
1087,M1779,933000320697553.0
1088,M1780,933000320697644.0
1089,M1781,933000320697571.0
1090,M1782,933000320697505.0
1091,M1783,933000320697572.0
1092,M1784,933000320697502.0
1093,M1785,933000320697510.0
1094,M1786,933000320697515.0
1095,M1787,933000320697504.0
1096,M1788,933000320697503.0
1097,F1801,933000320625144.0
1098,F1802,933000320624894.0
1099,F1803,933000320624804.0
1100,F1804,933000320624801.0
1101,F1805,933000320625145.0
1102,F1806,933000320625133.0
1103,F1807,933000320625132.0
1104,F1808,933000320624880.0
1105,F1809,933000320624762.0
1106,F1810,933000320624770.0
1107,F1811,933000320624757.0
1108,F1812,933000320624817.0
1109,F1813,933000320624753.0
1110,F1814,933000320624810.0
1111,F1815,933000320624820.0
1112,F1816,933000320624812.0
1113,F1817,933000320624930.0
1114,F1818,933000320625170.0
1115,F1819,933000320625175.0
1116,F1820,933000320625159.0
1117,F1821,933000320625162.0
1118,F1822,933000320625171.0
1119,F1823,933000320625152.0
1120,F1824,933000320624937.0
1121,F1825,933000320624782.0
1122,F1826,933000320624934.0
1123,F1827,933000320624941.0
1124,F1828,933000320624946.0
1125,F1829,933000320624928.0
1126,F1830,933000320624781.0
1127,F1831,933000320625129.0
1128,F1832,933000320625140.0
1129,F1833,933000320625128.0
1130,F1834,933000320625147.0
1131,F1835,933000320625137.0
1132,F1836,933000320625127.0
1133,F1837,933000320625130.0
1134,F1838,933000320625131.0
1135,M1851,933000320625150.0
1136,M1852,933000320624825.0
1137,M1853,933000320625148.0
1138,M1854,933000320624816.0
1139,M1855,933000320625136.0
1140,M1856,933000320625146.0
1141,M1857,933000320624882.0
1142,M1858,933000320624898.0
1143,M1859,933000320624803.0
1144,M1860,933000320624771.0
1145,M1861,933000320624823.0
1146,M1862,933000320624752.0
1147,M1863,933000320624813.0
1148,M1864,933000320624768.0
1149,M1865,933000320624763.0
1150,M1866,933000320624822.0
1151,M1867,933000320625160.0
1152,M1868,933000320624929.0
1153,M1869,933000320625165.0
1154,M1870,933000320625169.0
1155,M1871,933000320624764.0
1156,M1872,933000320624772.0
1157,M1873,933000320625158.0
1158,M1874,933000320625153.0
1159,M1875,933000320624944.0
1160,M1876,933000320624936.0
1161,M1877,933000320624779.0
1162,M1878,933000320624931.0
1163,M1879,933000320624926.0
1164,M1880,933000320624933.0
1165,M1881,933000320624927.0
1166,M1882,933000320625138.0
1167,M1883,933000320625139.0
1168,M1884,933000320624877.0
1169,M1885,933000320625141.0
1170,M1886,933000320624891.0
1171,M1887,933000320625134.0
